Filename,Order,Purpose,Dependency,Local Status,Staging Status,Production Status,Rollback/Forward-Fix Strategy,Verification Query,Evidence
20260810130000_outreach_contact_types.sql,20,Outreach contact-type enum,job_aggregation_cv_outreach,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
20260811120000_defer_esco_vector_matching.sql,21,Defers vector-based ESCO matching,esco_adaptive_matching,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
20260811130000_optimize_esco_classification.sql,22,ESCO classification query optimisation,esco_adaptive_matching,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
20260812160000_profile_onboarding_wizard.sql,23,Onboarding wizard schema,profile_revisions,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
20260812170000_work_authorisation_guidance.sql,24,Work-authorisation guidance data,mobility_profiles_entry_gate,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
20260815120000_cover_letter_versions.sql,25,Cover-letter version history,job_aggregation_cv_outreach,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
20260815130000_ai_credit_ledger.sql,26,AI credit ledger table,billing,Applied,Unverified,Unverified,Forward-fix only,"select count(*) from public.ai_credit_ledger",Not run this pass - foundational for AI-### cases
20260815140000_email_job_alerts.sql,27,Job-alert email subscription schema,job_aggregation_cv_outreach,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
20260815150000_schedule_job_sync.sql,28,Cron scheduling config for job sync,job_aggregation_cv_outreach,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
20260818120000_add_smartrecruiters_feed.sql,29,SmartRecruiters ATS source config,job_aggregation_cv_outreach,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
20260818123000_platform_coverage_reports.sql,30,Platform-coverage evidence table,None,Applied,Unverified,Unverified,Forward-fix only,N/A,Test-covered in platform-coverage.test.mjs
20260818150000_outreach_contacts.sql,31,Outreach contacts table,outreach_contact_types,Applied,Unverified,Unverified,Forward-fix only,N/A,Test-covered in outreach-contact-import.test.mjs
20260818160000_add_recruitee_feed.sql,32,Recruitee ATS source config,job_aggregation_cv_outreach,Applied,Unverified,Unverified,Forward-fix only,N/A,Test-covered in job-aggregation.test.mjs
20260819100000_job_workflow_and_interviews.sql,33,Interview workflow schema,dashboard_workflow_tables,Applied,Unverified,Unverified,Forward-fix only,N/A,Test-covered in interview-workflow-sync.test.mjs
20260821160000_atomic_ai_call_reservation.sql,34,Atomic reserve/confirm/release RPC for AI credits,ai_credit_ledger,Applied,Unverified,Unverified,Forward-fix only - this is a high-risk migration to roll back mid-flight given in-flight reservations,"select proname from pg_proc where proname like '%ai_call%'",Test-covered - highest-priority verification target (AI-004)
20260821170000_stripe_webhook_idempotency.sql,35,Webhook event idempotency table/constraint,billing,Applied,Unverified,Unverified,Forward-fix only,"select count(*) from public.stripe_webhook_events",Gap - no structured PAY-### execution yet (G-11)
20260822100000_pin_get_monthly_ai_calls_grant.sql,36,Pins explicit grant on get_monthly_ai_calls RPC,ai_credit_ledger,Applied,Unverified,Unverified,Forward-fix only,"select has_function_privilege('service_role','get_monthly_ai_calls(uuid)','execute')",Test-covered in production-hardening.test.mjs
20260822110000_explicit_revoke_stripe_events_rate_limits.sql,37,Explicit revoke on stripe_webhook_events/ai_rate_limits,stripe_webhook_idempotency,Applied,Unverified,Unverified,Forward-fix only,N/A,Test-covered in production-hardening.test.mjs
20260822120000_job_workflow_soft_delete.sql,38,Soft-delete tombstone columns for job workflow,job_workflow_and_interviews,Applied,Unverified,Unverified,Forward-fix only,N/A,Test-covered - RLS-007
20260822130000_grant_classify_job_listings_esco.sql,39,Explicit grant fixing a missing-privilege bug on ESCO classification RPC,esco_adaptive_matching,Applied,Unverified,Unverified,Forward-fix only,"select has_function_privilege('service_role','classify_job_listings_esco(integer)','execute')",Test-covered in production-hardening.test.mjs - real bug this session's predecessor sprint
20260823100000_admin_feature_flag_create_lock.sql,40,Advisory lock fix for feature-flag create race,admin_operations_foundation,Applied,Unverified,Unverified,Forward-fix only,"select proname from pg_proc where proname='admin_update_feature_flag'",Test-covered - ADMIN-004, fixed this session PR #164
