claim_id,domain,jurisdiction,route_or_entity,claim,claim_type,primary_source,publisher,source_date,retrieved_date,effective_date,confidence,contradiction_status,product_consequence,safe_interim_behavior
IE-001,mobility,Ireland,Critical Skills Employment Permit,"Eligible listed occupations require a relevant degree and official page states EUR 40,904 minimum remuneration",fact,https://enterprise.gov.ie/en/what-we-do/workplace-and-skills/employment-permits/permit-types/critical-skills-employment-permit/,DETE,2026,2026-09-11,2026,high,"DETE MAR table states EUR 40,909 but S.I. 643/2025 confirms EUR 40,904","Use the controlling instrument while retaining the stale-table discrepancy as source-quality evidence","Calculate with S.I. 643/2025 and flag the inconsistent table"
IE-002,mobility,Ireland,Critical Skills Employment Permit,"Official MAR table states EUR 40,909 with relevant degree and EUR 36,849 for qualifying graduate",fact,https://enterprise.gov.ie/en/what-we-do/workplace-and-skills/economic-migration-policy/minimum-annual-remuneration/,DETE,2026,2026-09-11,2026,medium,"S.I. 643/2025 sets EUR 40,904 and EUR 36,848","Demonstrates that even current official summaries can conflict with controlling law","Do not use these two table values in product decisions"
IE-003,mobility,Ireland,Critical Skills Occupations List,"Current list states effective 13 May 2026 under SI 213 of 2026",fact,https://enterprise.gov.ie/en/what-we-do/workplace-and-skills/employment-permits/employment-permit-eligibility/highly-skilled-eligible-occupations-list/critical%20skills%20occupations%20list.html,DETE,2026-05,2026-09-11,2026-05-13,high,none,"Occupation list must be independently versioned",Use duties and specialism not title alone
SE-001,mobility,Sweden,EU Blue Card,"From 15 July 2026 salary threshold is SEK 53,625/month",fact,https://www.migrationsverket.se/en/you-want-to-apply/work/employee-or-self-employed/eu-blue-cards.html,Swedish Migration Agency,2026,2026-09-11,2026-07-15,high,none,"Requires mid-year effective boundary",Replay decisions spanning 15 July
SE-002,mobility,Sweden,EU Blue Card,"Requires 180-credit higher education or five years relevant experience and contract of at least six months",fact,https://www.migrationsverket.se/en/you-want-to-apply/work/employee-or-self-employed/eu-blue-cards.html,Swedish Migration Agency,2026,2026-09-11,current,high,none,"Evidence and contract-duration rules are decision-critical",Return conditional until documents support facts
CMP-001,competition,Global,Simplify+,"Listed prices: USD 19.99/week; 39.99/month; 89.99/three months",fact,https://help.simplify.jobs/articles/5623502-whats-included-in-simplify-features-and-pricing,Simplify,2026,2026-09-11,current,high,none,"Establishes candidate-suite price anchor",Recheck before pricing decision
CMP-002,competition,Global,Teal+,"Listed prices: USD 13/week; 29/month; 79/quarter",fact,https://help.tealhq.com/en/articles/9530153-teal-vs-teal,Teal,2026-07-27,2026-09-11,current,high,none,"Establishes candidate-suite price anchor",Recheck before pricing decision
CMP-003,competition,Global,Huntr Pro,"Listed prices: USD 40/month; 90/quarter; 160/six months",fact,https://api.huntr.co/pricing,Huntr,2026,2026-09-11,current,high,none,"Establishes candidate-suite price anchor",Recheck before pricing decision
CMP-004,competition,Global,Jobbatical,"Offers pre-hiring immigration assessment, expert-managed cases and 45+ country support",vendor_claim,https://www.jobbatical.com/,Jobbatical,2026,2026-09-11,current,medium,"Claims not independently verified","Treat as employer-side competitive capability",Do not repeat success metrics as proven outcomes
CMP-005,competition,Global,Localyze,"Offers expert-supported mobility case management, HRIS integrations and claims ISO 27001 certification",vendor_claim,https://www.localyze.com/product,Localyze,2026,2026-09-11,current,medium,"Claims not independently verified","Treat as employer-side competitive capability",Verify certification before diligence use
PUB-001,substitute,EU,EU Talent Pool,"Proposed/implemented EU-wide platform permits third-country jobseekers to create profiles and participating-state employers to publish shortage occupation vacancies",fact,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/legal-migration-and-resettlement/work/eu-talent-pool_en,European Commission,2026-06-10,2026-09-11,current,high,"Member-state participation voluntary","Potential discovery substitute and data partner",Do not assume coverage or launch timing
AT-001,mobility,Austria,EU Blue Card,"2026 salary threshold is EUR 55,678 gross annual salary plus special payments",fact,https://www.migration.gv.at/en/types-of-immigration/permanent-immigration/eubluecard/,Austrian Federal Government,2026,2026-09-11,2026,high,none,"Annual threshold and special-payment representation are decision-critical",Return unknown when compensation structure is incomplete
AT-002,mobility,Austria,EU Blue Card,"ICT professionals and service managers may use three years relevant experience acquired in the preceding seven years instead of degree evidence",fact,https://www.migration.gv.at/en/types-of-immigration/permanent-immigration/eubluecard/,Austrian Federal Government,2026,2026-09-11,current,high,none,"Creates evidence-based non-degree route",Require dated employer evidence and relevance review
DK-001,mobility,Denmark,Pay Limit Scheme,"2026 threshold is DKK 552,000/year and changes annually on 1 January",fact,https://www.nyidanmark.dk/uk-UA/Words-and-concepts/SIRI/Minimum-amounts/Pay-Limit-Scheme%27s-minimum-amount,SIRI,2026-01-01,2026-09-11,2026,high,none,"Effective-at-application threshold adapter",Preserve initial-application threshold for extensions
DK-002,mobility,Denmark,Supplementary Pay Limit Scheme,"2026 threshold is DKK 446,000/year and additional conditions apply",fact,https://www.nyidanmark.dk/da/Du-vil-ans%C3%B8ge/Arbejde/Bel%C3%B8bsordningerne/Supplementary-Pay-Limit-scheme,SIRI,2026,2026-09-11,2026,high,none,"Route selection cannot be salary-only",Do not merge with Pay Limit result
FI-001,mobility,Finland,Specialist,"2026 gross salary threshold is EUR 3,937/month; fringe benefits and daily allowances excluded",fact,https://migri.fi/working-in-finland/income-requirement,Finnish Immigration Service,2026,2026-09-11,2026,high,none,"Compensation component parsing required",Use fixed qualifying cash salary only
FI-002,mobility,Finland,Specialist,"Requires confirmed specialist employment and degree or expertise acquired through experience/other education",fact,https://migri.fi/en/specialist,Finnish Immigration Service,2026,2026-09-11,current,high,none,"Employer verification and expertise evidence required",Return conditional until evidence confirmed
UK-001,regulatory,United Kingdom,immigration advice,"Immigration advice is individual-specific advice about relevant immigration matters",fact,https://www.gov.uk/government/publications/iaa-adviser-registration-explained/iaa-adviser-registration-explained,Immigration Advice Authority,2026-08-12,2026-09-11,current,high,none,"Personalised UK mobility outputs may require regulated delivery",Restrict to general information pending written scope opinion
PRV-001,privacy,EU,automated decision-making,"EDPB-endorsed guidance addresses GDPR automated individual decision-making and profiling",fact,https://www.edpb.europa.eu/documents/guideline/automated-decision-making-and-profiling_en,European Data Protection Board,2018-05-25,2026-09-11,current,high,none,"Requires transparency and Article 22 applicability analysis",Avoid consequential solely automated actions pending DPIA/legal analysis
FR-001,source_governance,France,EU Blue Card,"France-Visas still states a contract of at least one year even though CESEDA Article L421-11 has required at least six months since 3 May 2025 and current Service-Public guidance confirms six months",fact,https://france-visas.gouv.fr/en/web/france-visas/talents-internationaux-et-attractivite-economique,France-Visas,2026,2026-09-11,stale-after-2025-05-03,high,"Resolved stale administrative wording; controlling current law and another current administrative source agree on six months","Provides a stale-source regression fixture rather than an unresolved legal choice","Never use the France-Visas one-year condition for current decisions; retain it only as stale-source evidence"
ES-001,mobility,Spain,EU Blue Card,"June 2026 official update states general threshold EUR 41,356.36 and reduced threshold EUR 33,085.09",fact,https://www.inclusion.gob.es/documents/d/unidadgrandesempresas/umbral-salarial.pdf,Spanish Ministry of Inclusion,2026-06,2026-09-11,2026-06,high,none,"Resolves salary value missing from preliminary report",Version the PDF and link Order PJC/44/2026
PT-001,mobility,Portugal,Tech Visa,"Requires certified company; minimum salary 2.5 times IAS; at least 12-month contract; specified language ability; level 6 qualification or exceptional level-5 skills with five years experience",fact,https://aima.gov.pt/pt/trabalhar/autorizacao-de-residencia-para-atividade-altamente-qualificada-exercida-para-empresa-certificada-art-90-o-tech-visa,AIMA,2026,2026-09-11,current,medium,"Current IAS numeric value and certified-company dataset not captured","Potential employer-verification route",Information only pending dependencies
PT-002,mobility,Portugal,EU Blue Card,"Requires at least six-month highly qualified contract and salary of 1.5 times average annual gross salary or 1.2 times in specified cases",fact,https://aima.gov.pt/pt/viver/concessao-de-cartao-azul-ue-e-autorizacao-de-residencia-para-titulares-de-cartao-azul-ue-noutro-estado-membro-art-121-o-a-e-segu,AIMA,2026,2026-09-11,current,medium,"Current referenced statistic not resolved","Formula can be encoded only with versioned statistic",No numeric pass/fail
PL-001,mobility,Poland,EU Blue Card,"For 2026 official MOS Q&A states annual gross remuneration over PLN 160,264.08 and monthly gross over PLN 13,355.34",fact,https://mos.cudzoziemcy.gov.pl/en/question-and-answer-database/permits-residence-and-work/eu-blue-card/,Polish Office for Foreigners,2026,2026-09-11,2026,high,none,"Promotes Poland to accelerated research",Still evaluate local surplus occupation list
CZ-001,mobility,Czechia,EU Blue Card,"Official portal requires a highly qualified vacancy, qualification evidence, contract and salary at least 1.5 times average gross salary",fact,https://ipc.gov.cz/en/visa-and-residence-permit-types/third-country-nationals/long-term-residence-permits/blue-card/,Czech Ministry of the Interior,2026,2026-09-11,current,medium,"Page contains inconsistent six-month/one-year contract wording by application context","Promotes Czechia from R0 to R1 research",No numeric or contract-duration conclusion until context resolved
CZ-002,employer,Czechia,EU Blue Card,"Application requires the vacancy identifier from the Central Database of Vacancies for Blue Card holders",fact,https://ipc.gov.cz/en/glossary/vacancy-number/,Czech Ministry of the Interior,2026,2026-09-11,current,high,none,"Creates vacancy-level authority verification primitive",Verify exact vacancy ID rather than employer-level inference
EE-001,mobility,Estonia,top specialist,"Consolidated Aliens Act defines top-specialist salary as at least 1.5 times the latest annual average gross monthly salary published by Statistics Estonia",fact,https://www.riigiteataja.ee/en/eli/ee/510042023008/consolide/current,Estonian State Gazette,2026,2026-09-11,2026-01-01,high,"Statistic captured in EE-004; administrative series and rounding confirmation remain open","Supports a derived threshold with visible formula","Show calculation but retain review-required pending administrative confirmation"
EE-002,employer,Estonia,top specialist,"Top-specialist employer must be in the Estonian commercial register and generally at least 12 months old plus satisfy specified company conditions",fact,https://www.riigiteataja.ee/en/eli/ee/510042023008/consolide/current,Estonian State Gazette,2026,2026-09-11,2026-01-01,high,"Exceptions and alternative conditions not yet structured","Creates employer registry and company-condition checks",Return review-required for company conditions
LT-001,mobility,Lithuania,EU Blue Card,"European Commission portal states 1.2 times latest average wage for listed high-value shortage occupations or 1.5 times for other occupations; at least six-month contract",fact,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/eu-blue-card/eu-blue-card-lithuania_en,European Commission,2025-04-01,2026-09-11,current,medium,"Numeric examples use 2023 wage and are stale","Promotes Lithuania from R0 to R1-partial",Use formula only until current national statistic/list captured
BE-FL-001,mobility,Belgium-Flanders,highly skilled single permit,"Flanders states 2025 annual threshold values still apply to 2026 applications pending new Statbel statistics",fact,https://www.vlaanderen.be/werken/een-buitenlander-in-vlaanderen-tewerkstellen/categorieen/hooggeschoolde,Flemish Government,2026-08,2026-09-11,2026,high,"Threshold expected to change when statistics publish","Requires region and pending-update alert",Flag threshold as pending and monitor frequently
BE-WA-001,mobility,Belgium-Wallonia,highly qualified and EU Blue Card,"2026 thresholds are EUR 53,220 for highly qualified; EUR 42,576 under 30; EUR 68,815 Blue Card; EUR 55,052 Blue Card junior",fact,https://emploi.wallonie.be/en/home/actualites/actualites/autorisations-de-travail-et-permis-de-travail-b--seuils-salariaux-a-respecter-par-les-employeurs.html,Walloon Government,2026-08-10,2026-09-11,2026-01-01,high,none,"Confirms Belgium must be region-versioned",Do not apply Walloon values to Brussels or Flanders
NO-001,mobility,Norway,skilled worker,"Where no collective agreement applies UDI states annual pre-tax benchmark NOK 624,700 for master-required positions and NOK 545,400 for bachelor-required positions; lower salary needs substantial normal-pay evidence",fact,https://www.udi.no/en/word-definitions/pay-and-working-conditions-in-norway/,Norwegian Directorate of Immigration,2026,2026-09-11,current,high,"Effective date/history not explicit on page","Adds degree-level salary check plus exception path",Return review-required below benchmark
NO-002,employer,Norway,work permit job offer,"From 19 February 2026 applicants filing from abroad may need employer/client confirmation code; skilled worker with employer is included",fact,https://www.udi.no/en/important-messages/confirmation-of-a-job-offer/,Norwegian Directorate of Immigration,2026-02-19,2026-09-11,2026-02-19,high,none,"Creates authoritative job-offer verification primitive",Show applicability only for relevant applicant workflow
LU-001,mobility,Luxembourg,EU Blue Card,"Applicant needs a contract of at least six months and annual salary of at least EUR 65,652",fact,https://guichet.public.lu/en/entreprises/ressources-humaines/recrutement/ressortissant-pays-tiers/plus-3-mois/salarie-hautement-qualifie.html,Guichet.lu,2026-03-03,2026-09-11,current,high,none,"Supports a versioned salary and duration check",Recheck the underlying Grand-Ducal regulation before an eligibility conclusion
LU-002,employer,Luxembourg,EU Blue Card,"Before recruiting a highly qualified third-country worker the employer must declare the vacancy to ADEM",fact,https://guichet.public.lu/en/entreprises/ressources-humaines/recrutement/ressortissant-pays-tiers/plus-3-mois/salarie-hautement-qualifie.html,Guichet.lu,2026-03-03,2026-09-11,current,high,none,"Creates a vacancy-process evidence requirement",Do not infer compliance from employer identity alone
CH-001,mobility,Switzerland,third-country work permit,"Third-country admission is limited to highly qualified workers and is subject to quota availability, overall economic interest, Swiss/EU-EFTA worker precedence and customary salary and employment conditions",fact,https://www.sem.admin.ch/sem/en/home/themen/arbeit/nicht-eu_efta-angehoerige/grundlagen_zur_arbeitsmarktzulassung.html,Swiss State Secretariat for Migration,2026-07,2026-09-11,current,high,"Cantonal procedures and judgement remain material","Creates evidence gates but not deterministic eligibility","Never return eligible; return evidence checklist plus expert/cantonal review"
IT-001,mobility,Italy,EU Blue Card,"Applicant may qualify with a relevant tertiary qualification, five years of relevant experience, or for ICT managers/specialists three relevant years within the preceding seven; the offer must last at least six months",fact,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/eu-blue-card/eu-blue-card-italy_en,European Commission,2025-04-01,2026-09-11,current,medium,"Current national numeric salary value is not resolved","Defines qualification and duration primitives","Use qualification and duration checklist only; withhold salary conclusion"
IT-002,employer,Italy,EU Blue Card,"The employer files through the One-Stop-Shop for Immigration; highly skilled admission is outside the quota system",fact,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/highly-qualified-worker-italy_en,European Commission,2025-04-01,2026-09-11,current,medium,"National implementation and current portal workflow should be checked","Creates an employer-process evidence requirement","Describe process as general information, not a filing instruction"
BE-BR-001,mobility,Belgium-Brussels,highly qualified and EU Blue Card,"From 1 January 2026 monthly thresholds are EUR 3,703.44 for highly qualified staff and EUR 4,748.00 for the EU Blue Card; ICT-specific thresholds differ",fact,https://economy-employment.brussels/single-permit-minimum-remuneration,Brussels Economy and Employment,2026,2026-09-11,2026-01-01,high,none,"Completes the third regional salary branch for Belgium",Require work-region selection before any threshold comparison
UK-SW-001,mobility,United Kingdom,Skilled Worker,"The usual salary requirement is the higher of GBP 41,700 per year and the occupation going rate; eligible lower-salary cases exist",fact,https://www.gov.uk/skilled-worker-visa/your-job,UK Home Office,2026-09-11,2026-09-11,current,high,"Salary evaluation requires occupation code and exception-state facts","Creates a multi-branch salary primitive","General information only pending IAA scope opinion; never decide from GBP 41,700 alone"
UK-SP-001,employer,United Kingdom,Skilled Worker,"A Skilled Worker requires an approved sponsor and the Home Office publishes a frequently updated licensed-sponsor register",fact,https://www.gov.uk/government/publications/register-of-licensed-sponsors-workers,UK Home Office,2026-09-11,2026-09-11,current,high,none,"Supports time-stamped sponsor verification","Store register version and exact matched legal entity; do not infer willingness to sponsor"
IT-003,mobility,Italy,EU Blue Card,"Article 27-quater ties annual remuneration both to the applicable nationally representative collective agreement and to a floor no lower than ISTAT's annual average gross remuneration",fact,https://www.gazzettaufficiale.it/eli/gu/2024/12/10/289/sg/pdf,Italian Official Gazette,2024-12-10,2026-09-11,current,high,"The Commission summary expresses a 1-to-1.6-times range while national law uses collective-agreement and ISTAT references","Replaces a simplistic single-threshold model with a two-source compensation rule","No numeric result until applicable agreement and current ISTAT measure are versioned"
LT-002,mobility,Lithuania,wage statistic,"The Migration Department published BDU EUR 2,223.00, 1.2 BDU EUR 2,667.60 and 1.5 BDU EUR 3,334.50 for applications accepted from 21 May 2025",fact,https://migracija.lrv.lt/lt/naujienos/aktualu-darbdaviams-paskelbtas-naujas-bruto-darbo-uzmokestis-dydis/,Lithuanian Migration Department,2025-05-20,2026-09-11,2025-05-21,high,"A later annual figure may supersede this during 2026","Adds an effective-dated numeric source but does not establish current 2026 value","Treat as historical until a 2026 publication/supersession check is complete"
PT-003,mobility,Portugal,EU Blue Card,"Current AIMA guidance requires a highly qualified contract or promise lasting at least six months and annual pay of at least 1.5 times national average gross annual salary or 1.2 times in specified cases",fact,https://aima.gov.pt/pt/viver/concessao-de-cartao-azul-ue-e-autorizacao-de-residencia-para-titulares-de-cartao-azul-ue-noutro-estado-membro-art-121-o-a-e-segu,AIMA,2026,2026-09-11,current,high,"Referenced national statistic and reduced-case definition remain unresolved","Strengthens PT-002 with current responsible-authority evidence","Formula/checklist only; no numeric conclusion"
EE-003,mobility,Estonia,EU Blue Card,"The consolidated Aliens Act requires 1.5 times the latest annual average gross monthly salary, reduced to 1.24 times for enumerated professional groups",fact,https://www.riigiteataja.ee/en/eli/ee/510042023008/consolide/current,Estonian State Gazette,2026,2026-09-11,current,high,"The enumerated list must be mapped precisely and the current statistic remains unresolved","Separates EU Blue Card rules from the top-specialist route","No numeric or reduced-branch conclusion until occupation and statistic are verified"
CZ-003,employer,Czechia,EU Blue Card vacancy,"A Blue Card vacancy is entered in the central evidence with employer consent and may require at least 30 days of publication where labour supply permits the role to be filled otherwise",fact,https://ppropo.mpsv.cz/zakon_435_2004,Czech Ministry of Labour and Social Affairs,2026,2026-09-11,current,high,"Applicability of the 30-day condition is authority-dependent","Adds statutory provenance to the vacancy-ID primitive","Verify the live vacancy record; do not infer admission from its presence"
EE-004,mobility,Estonia,EU Blue Card numeric derivation,"Statistics Estonia reports 2025 annual average monthly gross wages of EUR 2,092; applying statutory coefficients yields EUR 3,138.00 at 1.5 times and EUR 2,594.08 at 1.24 times",derived_fact,https://www.stat.ee/en/find-statistics/statistics-theme/work-life/wages-and-salaries-and-labour-costs/average-monthly-gross-wages-and-salaries,Statistics Estonia,2026-09-03,2026-09-11,2025-data-published-2026,high,"Authority workflow must confirm that PA101 is the legally intended latest annual series and rounding treatment","Supplies a reproducible candidate threshold derivation linked to statute and statistic","Show derivation and review-required until administrative confirmation"
DE-LAW-001,mobility,Germany,EU Blue Card,"Residence Act section 18g sets the standard salary at 50 percent and shortage/new-graduate salary at 45.3 percent of the annual pension-insurance contribution ceiling; the ministry must publish annual minimum salaries by 31 December of the prior year",fact,https://www.gesetze-im-internet.de/aufenthg_2004/__18g.html,German Federal Ministry of Justice,2026,2026-09-11,current,high,none,"Connects annual published amounts to their statutory formula and publication duty","Bind each amount to both section 18g and the annual notice"
DE-LAW-002,mobility,Germany,EU Blue Card IT experience,"For ISCO groups 133 or 25 without the paragraph-one qualification, section 18g requires at least three years relevant experience gained in the prior seven years, comparable degree-level knowledge and skills, and necessity for the employment",fact,https://www.gesetze-im-internet.de/aufenthg_2004/__18g.html,German Federal Ministry of Justice,2026,2026-09-11,current,high,none,"Defines three separate evidence predicates instead of a generic three-years-experience flag","Use potential-match plus authority review for comparability"
DE-LAW-003,mobility,Germany,EU Blue Card offer,"Section 18g requires the concrete job offer to provide at least six months of employment",fact,https://www.gesetze-im-internet.de/aufenthg_2004/__18g.html,German Federal Ministry of Justice,2026,2026-09-11,current,high,none,"Adds an offer-duration hard predicate","Do not infer duration from permanent/full-time labels"
NL-ADM-001,mobility,Netherlands,HSM and EU Blue Card salary timing,"IND states annual amounts change on 1 January; the applicable amount is determined at application date, or at the new employment contract start date when changing sponsor",fact,https://ind.nl/en/required-amounts-income-requirements,IND,2026-09-11,2026-09-11,2026,high,none,"Requires event-specific effective-date selection","Ask application/change context before threshold evaluation"
NL-ADM-002,mobility,Netherlands,HSM and EU Blue Card compensation,"Fixed contractual allowances paid monthly to the worker's bank account may count; vacation allowance, in-kind value and uncertain non-regular pay do not",fact,https://ind.nl/en/required-amounts-income-requirements,IND,2026-09-11,2026-09-11,2026,high,none,"Requires typed compensation components rather than one total salary number","Exclude unsupported components and show counted amount"
NL-REG-001,employer,Netherlands,recognised sponsor register,"IND's work sponsor register was updated on 3 September 2026",fact,https://ind.nl/en/public-register-recognised-sponsors/public-register-work,IND,2026-09-03,2026-09-11,2026-09-03,high,none,"Provides registry-version freshness evidence","Display retrieval/version time and recheck on verification request"
IE-LAW-001,mobility,Ireland,employment permit remuneration,"Section 48(4) of the Employment Permits Act 2024 requires annual review of regulated minimum remuneration using latest CSO average weekly earnings and an increase at least matching relevant earnings growth where the Minister is satisfied growth occurred",fact,https://www.irishstatutebook.ie/eli/2024/act/17/enacted/en/print,Irish Statute Book,2024,2026-09-11,current,high,none,"Explains why threshold versions are expected to change and need yearly monitoring","Quarantine stale annual values after a new regulation or review result"
IE-LAW-002,mobility,Ireland,Critical Skills Employment Permit,"The 2024 regulations required a two-year minimum employment period and at least 20 hours weekly; these conditions remain subject to later amendment instruments",fact,https://www.irishstatutebook.ie/eli/2024/si/444/made/en/print,Irish Statute Book,2024,2026-09-11,2024-baseline,high,"S.I. 643/2025 changes remuneration and S.I. 213/2026 changes occupation schedules","Creates duration and hours predicates but does not by itself prove current salary or occupation coverage","Compile the baseline with each amendment by provision and effective date"
SE-ADM-001,mobility,Sweden,EU Blue Card,"Swedish Migration Agency states the threshold is 1.25 times average gross salary published by the National Mediation Office and SEK 53,625 per month applies from 15 July 2026",fact,https://www.migrationsverket.se/en/you-want-to-apply/work/employee-or-self-employed/eu-blue-cards.html,Swedish Migration Agency,2026-05-25,2026-09-11,2026-07-15,high,none,"Links numeric amount, formula, statistic publisher and effective date","Use SEK 53,625 only for the stated effective interval"
FR-LAW-001,mobility,France,Talent EU Blue Card,"CESEDA R421-21 A requires annual gross remuneration of at least 1.5 times the reference average annual gross salary set by ministerial order",fact,https://www.legifrance.gouv.fr/codes/id/LEGISCTA000051747408/2025-06-16,Légifrance,2025-06-16,2026-09-11,2025-06-16,high,none,"Defines the statutory formula independently of the mutable amount","Evaluate only with a versioned ministerial reference amount"
FR-AMT-001,mobility,France,Talent EU Blue Card,"The order of 21 August 2025 set the reference average annual gross salary at EUR 39,582, producing a 1.5-times Blue Card threshold of EUR 59,373",derived_fact,https://www.legifrance.gouv.fr/jorf/article_jo/JORFARTI000052158124,Légifrance,2025-08-21,2026-09-11,2025-09-01,high,none,"Creates a reproducible amount derivation","Store reference amount and multiplier as separate versioned facts"
FR-SUP-001,source_governance,France,Talent EU Blue Card,"The 21 August 2025 order repealed the 20 June and 28 October 2016 orders effective 1 September 2025",fact,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000052174081,Légifrance,2025-08-21,2026-09-11,2025-09-01,high,none,"Provides an explicit supersession edge and predecessor interval","Do not use 2016 amounts for decisions effective from 1 September 2025"
FR-DUR-001,mobility,France,Talent EU Blue Card,"CESEDA Article L421-11 has required highly qualified employment for at least six months since 3 May 2025; the previous version required at least one year",fact,https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006070158/LEGISCTA000042771540/2026-07-17/,Légifrance,2025-04-30,2026-09-12,2025-05-03,high,"Supersedes the one-year duration in the prior Article L421-11 version","Resolves the duration rule and supplies a precise transition boundary","Use one year only for historical decisions before 3 May 2025 and six months from that date"
FR-ADM-001,mobility,France,Talent EU Blue Card,"Current Service-Public guidance requires a contract of at least six months and publishes a gross annual threshold of EUR 53,836.50",fact,https://www.service-public.fr/particuliers/vosdroits/F16922?lang=fr,Direction de l'information légale et administrative,2026,2026-09-12,current,high,"The displayed amount conflicts with the EUR 59,373 derivation from the 21 August 2025 reference order and 1.5 multiplier","Duration is corroborated but the current amount chain has a new official conflict","Use six-month duration; quarantine exact salary result pending reconciliation of official amount sources"
ES-LAW-001,mobility,Spain,EU Blue Card,"Order PJC/44/2026 sets the general threshold at 1.4 times INE average annual gross earnings and a 0.8 coefficient for qualifying shortage occupations in CNO groups 1/2 or qualifications obtained within three years",fact,https://www.boe.es/eli/es/o/2026/01/27/pjc44,Spanish Official State Gazette,2026-01-27,2026-09-11,2026-01-31,high,none,"Defines formula, reduced branches and commencement","Require occupation-list and graduation-date evidence before reduced threshold"
ES-SUP-001,source_governance,Spain,EU Blue Card threshold updates,"A new INE earnings survey changes the threshold for applications filed from one month after its publication; earlier applications retain prior law unless the applicant requests the new order and proves compliance",fact,https://www.boe.es/eli/es/o/2026/01/27/pjc44,Spanish Official State Gazette,2026-01-27,2026-09-11,2026-01-31,high,none,"Requires publication-plus-one-month effective dating and application cohort handling","Never overwrite prior threshold versions"
