case_id,market,route,case_class,input_condition,expected_state,required_claims,reason
FR-DURATION-002,France,Talent EU Blue Card,temporal,"historical decision immediately before 3 May 2025 has an eleven-month offer",not_eligible,FR-DUR-001,"Historical replay must preserve the predecessor one-year minimum"
FR-DURATION-003,France,Talent EU Blue Card,boundary,"current decision on or after 3 May 2025 has an exactly six-month offer",potential_match,FR-DUR-001|FR-ADM-001,"Equality at the current statutory minimum passes the duration predicate"
FR-AMOUNT-CONFLICT-001,France,Talent EU Blue Card,source_conflict,"salary is between EUR 53,836.50 shown by current Service-Public and EUR 59,373 derived from the current reference order",source_conflict,FR-LAW-001|FR-AMT-001|FR-ADM-001,"Do not issue an exact salary decision while current official surfaces conflict"
ES-TRANSITION-001,Spain,EU Blue Card,temporal,"new INE survey published; application filed before publication-plus-one-month",historical_ruleset_required,ES-SUP-001,"Predecessor amount remains applicable"
DK-EXTEND-001,Denmark,Pay Limit Scheme,temporal,"extension salary meets original application threshold but not 2026 first-application threshold",potential_match,DK-SUP-001,"Extension may retain original threshold"
BE-COMP-001,Belgium-Flanders,highly skilled,compensation,"posted worker evaluated with local 13.92 divisor",invalid_input_model,BE-FL-COMP-001,"Employment arrangement controls normalization"
IT-CCNL-001,Italy,EU Blue Card,missing_fact,"salary exceeds assumed ISTAT floor; applicable collective agreement not identified",insufficient_evidence,IT-003,"Both pay constraints must be resolved"
UK-BRANCH-001,United Kingdom,Skilled Worker,missing_fact,"salary is GBP 41,700; SOC going rate absent",insufficient_evidence,UK-RULE-001,"Standard amount alone cannot decide"
UK-COS-001,United Kingdom,Skilled Worker,employer,"employer is licensed but candidate has no job-specific valid CoS",employer_unverified,UK-SP-002,"Register presence is not job-specific sponsorship"
NO-CODE-001,Norway,skilled worker,workflow,"employer files application on candidate's behalf; confirmation code absent",potential_match,NO-FRAUD-001,"Code must not be demanded outside scoped workflow"
CH-REVIEW-001,Switzerland,third-country permit,discretionary,"qualifications and salary supported; canton quota and precedence unresolved",expert_review_required,CH-LAW-001,"Human/authority judgement is intrinsic"
CZ-DATE-001,Czechia,EU Blue Card,temporal,"application 30 April 2026; salary only meets threshold derived from announcement 44/2026",review_required,CZ-AMT-001,"New reference interval starts 1 May and must not be applied early"
CZ-DATE-002,Czechia,EU Blue Card,temporal,"application 1 May 2026; gross salary CZK 885870 annually; otherwise qualified",potential_match,CZ-LAW-001|CZ-AMT-001,"Tests exact effective boundary and statutory multiplier"
CZ-DURATION-001,Czechia,EU Blue Card,source_conflict,"eight-month highly qualified contract; stale ministry page says one year; current Act says six months",potential_match,CZ-LAW-001,"Current statute controls duration while stale guidance is retained as a supersession warning"
LT-DATE-001,Lithuania,EU Blue Card,temporal,"application accepted 11 May 2026 with salary meeting only the new BDU multiple",review_required,LT-AMT-001,"New BDU applies to applications accepted from 12 May; earlier intermediary-letter transition requires separate handling"
LT-DATE-002,Lithuania,EU Blue Card,temporal,"application accepted 12 May 2026; listed high-value occupation; salary EUR 2893.68; otherwise qualified",potential_match,LT-002|LT-AMT-001,"Tests exact effective boundary and reduced branch"
LT-LETTER-001,Lithuania,EU Blue Card,workflow,"intermediary letter completed and paid before 12 May 2026 with old BDU; employer has not confirmed new salary",review_required,LT-AMT-001,"Authority accepts the filing but requests employer confirmation; neither automatic rejection nor pass is safe"
PT-IAS-DATE-001,Portugal,Tech Visa,temporal,"application on 1 January 2026; otherwise eligible; salary derived using 2025 IAS",not_supported,PT-001|PT-IAS-001,"The 2026 IAS supersedes its predecessor from this date"
PT-IAS-ROUND-001,Portugal,Tech Visa,boundary,"monthly salary EUR 1342.82; otherwise eligible",review_required,PT-001|PT-IAS-001,"The mathematical 2.5-IAS result has a half-cent and route-specific rounding is unresolved"
PT-EMPLOYER-001,Portugal,Tech Visa,employer_identity,"vacancy trading name resembles a listed company but no exact NIF or legal-name match exists",unverified_employer,PT-REG-001,"Fuzzy brand similarity cannot establish certified-company identity"
PT-EMPLOYER-002,Portugal,Tech Visa,temporal,"exact NIF match exists but certification expired before the decision date",not_verified,PT-REG-001,"Register presence without interval validity is not current certification"
PT-TERM-001,Portugal,Tech Visa,evidence_gap,"employer is currently certified but the responsibility-term access code has not been validated",insufficient_evidence,PT-REG-001,"Company certification does not prove issuance or validity of the candidate-specific mandatory term"
BE-REGION-002,Belgium,regional highly skilled,adversarial,"employer registered in Brussels; normal work location in Wallonia; salary tested against Brussels monthly threshold",review_required,BE-WA-LAW-001|BE-BR-LAW-001,"Registered office alone does not safely establish the competent regional rule bundle"
BE-WA-ICT-001,Belgium-Wallonia,EU Blue Card,representative,"ICT specialist without degree; three relevant years in prior seven; six-month contract; current salary met",potential_match,BE-WA-LAW-001|BE-WA-001,"Statutory experience branch exists but relevance and regional facts require evidence"
BE-BR-ICT-001,Belgium-Brussels,EU Blue Card,representative,"ICT manager without degree; three relevant years in prior seven; six-month contract; January 2026 salary met",review_required,BE-BR-LAW-001|BE-BR-001,"Predicates match but canonical legal consolidation is not yet complete"
IE-DATE-001,Ireland,CSEP,temporal,"application 28 February 2026; salary EUR 40000; listed occupation; otherwise eligible",review_required,IE-AMT-001,"S.I. 643/2025 salary amendments do not commence until 1 March"
IE-DATE-002,Ireland,CSEP,temporal,"application 1 March 2026; salary EUR 40904; listed occupation; relevant non-recent degree; otherwise eligible",potential_match,IE-AMT-001,"Tests exact commencement and equality"
IE-GRAD-001,Ireland,CSEP,boundary,"relevant Level-8 qualification awarded exactly 12 months before application; salary EUR 36848",review_required,IE-AMT-001,"The precise within-12-month temporal boundary needs reviewer-approved date arithmetic"
IE-LIST-DATE-001,Ireland,CSEP,temporal,"occupation added by S.I. 213/2026; application 12 May 2026",not_supported,IE-003,"Replacement occupation schedule takes effect on 13 May"
IE-LIST-DATE-002,Ireland,CSEP,temporal,"occupation added by S.I. 213/2026; application 13 May 2026; statutory salary met",potential_match,IE-003|IE-AMT-001,"Tests independent occupation and remuneration effective dates"
IT-SALARY-002,Italy,EU Blue Card,adversarial,"offered annual salary EUR 37000; exact ISTAT observation absent; employer CCNL and level absent",insufficient_evidence,IT-003|IT-ADM-001|IT-CCNL-001,"Exceeding the approximate public figure cannot satisfy the independent collective-agreement floor"
IT-CCNL-002,Italy,EU Blue Card,boundary,"exact ISTAT floor met; identified CCNL classification requires higher annual remuneration than offer",not_supported,IT-003|IT-CCNL-001,"The controlling salary test is conjunctive and the higher CCNL floor fails"
IT-CCNL-003,Italy,EU Blue Card,representative,"offer exceeds exact ISTAT floor and current identified CCNL-level floor; qualification and six-month offer evidenced",potential_match,IT-003|IT-CCNL-001,"Both salary floors are evidenced but authority and filing predicates still prevent definitive eligibility"
AT-SALARY-001,Austria,EU Blue Card,boundary,"2026 compensation including qualifying special payments equals EUR 55,678",potential_match,AT-001|AT-STAT-001|AT-LAW-002,"Salary equality passes but AMS outcome remains authority-side"
AT-SALARY-002,Austria,EU Blue Card,evidence_gap,"base salary is supplied but special-payment structure and annual total are missing",insufficient_evidence,AT-001|AT-ADM-001,"Do not guess annual qualifying compensation from a monthly headline"
AT-ICT-001,Austria,EU Blue Card,boundary,"ISCO-08 group 25 candidate has exactly three relevant years within the preceding seven and no degree",potential_match,AT-002|AT-LAW-002,"The statutory ICT experience alternative passes subject to comparability and AMS review"
AT-ICT-002,Austria,EU Blue Card,adversarial,"non-ICT occupation has three years experience in seven but no qualifying degree",not_eligible,AT-LAW-002,"Do not generalise the ICT-specific three-in-seven exception"
AT-AMS-001,Austria,EU Blue Card,authority_dependency,"candidate and offer meet visible predicates but no AMS labour-market determination exists",review_required,AT-ADM-001|AT-LAW-001|AT-LAW-002,"Candidate evidence cannot manufacture the authority-side labour-market result"
