source_id,jurisdiction,route_or_topic,authority,title,url,source_class,language,retrieved_at,published_or_updated_at,effective_from,claims_supported,evidence_level,review_state,change_cadence,known_gap
COMP-003,Global,career suite,Huntr,Pricing plans,https://api.huntr.co/pricing,vendor_primary,en,2026-09-10,2026,,Free and Pro pricing resume tailoring tracking and autofill,R1,verified_public_claim,monthly,Vendor outcome claims not independently verified
COMP-004,Global,immigration operations,Jobbatical,Employee immigration and visa pricing,https://www.jobbatical.com/pricing,vendor_primary,en,2026-09-10,2026,,Expert plus platform model per-case services and fee exclusions,R1,verified_public_claim,quarterly,Displayed country price table extraction pending
COMP-005,Global,global mobility,Localyze,Global mobility platform,https://www.localyze.com/,vendor_primary,en,2026-09-10,2026,,Employer mobility platform immigration expertise pre-check and case management,R1,verified_public_claim,quarterly,Pricing and country depth undisclosed
COMP-006,Global,immigration law technology,Fragomen,Immigration technology,https://www.fragomen.com/our-tech-and-innovation/fragomen-technologies.html,vendor_primary,en,2026-09-10,2026,,Expert-led platform 170-jurisdiction coverage security and knowledge operations,R1,verified_public_claim,quarterly,Individual pricing and pre-application UX unknown
DK-001,Denmark,Pay Limit Scheme,SIRI,The Pay Limit Scheme,https://www.nyidanmark.dk/en-GB/You-want-to-apply/Work/Pay-limit-scheme/,official_guidance,en,2026-09-10,2026-07,2026-01-01,2026 threshold DKK 552000 annual; no specific education or field required,R1,expert_pending,monthly,Salary components and Danish bank requirements need atomic extraction
DK-002,Denmark,Positive Lists,SIRI,The Positive Lists,https://www.nyidanmark.dk/en-GB/Applying/Work/The_Positive_Lists,official_guidance,en,2026-09-10,2026,2026,Separate shortage lists for higher education and skilled work,R1,list_extraction_pending,monthly,Current occupation entries and validity dates pending
FI-001,Finland,Specialist,Finnish Immigration Service,Residence permit for specialists,https://migri.fi/en/specialist,official_guidance,en,2026-09-10,2026,2026,Expert duty; confirmed employment; degree or equivalent expertise; EUR 3937 monthly salary,R1,expert_pending,monthly,Collective agreement and general-entry overlays pending
FI-002,Finland,EU Blue Card,Finnish Immigration Service,EU Blue Card,https://migri.fi/en/eu-blue-card,official_guidance,en,2026-09-10,2026,2026,Six-month highly qualified employment; qualifications/experience; EUR 3937 monthly salary,R1,expert_pending,monthly,Primary-law and mobility exceptions pending
FI-003,Finland,work income,Finnish Immigration Service,Income requirement for work permits,https://migri.fi/working-in-finland/income-requirement,official_guidance,en,2026-09-10,2026,2026,Specialist/Blue Card salary excludes fringe benefits and daily allowances,R1,expert_pending,monthly,Exact compensation edge cases pending
EE-001,Estonia,employment residence,Estonian Parliament,Aliens Act consolidated current text,https://www.riigiteataja.ee/en/eli/ee/510042023008/consolide/current,primary_law,en,2026-09-10,2026-05-21,2026-05-22,Employment salary rules including average salary and 1.5 coefficient; qualifications; employer and change rules,R1,legal_review_pending,event_driven,Route-clause mapping and current Statistics Estonia value pending
EE-002,Estonia,employment residence,Estonian Labour Inspectorate,Coming from abroad to work in Estonia,https://www.ti.ee/en/foreign-worker/coming-abroad-work-estonia,official_guidance,en,2026-09-10,2026-02,,Employer invitation and Unemployment Insurance Fund consent workflow; permit up to five years,R1,expert_pending,monthly,Exceptions and quota mapping pending
LT-001,Lithuania,work residence,Migration Department,Foreigners wishing to work must obtain Lithuanian residence permits,https://migracija.lrv.lt/en/news/foreigners-who-wish-to-work-in-lithuania-will-have-to-obtain-lithuanian-residence-permits-exceptions-will-only-apply-in-certain-cases/,official_notice,en,2026-09-10,2024-07-04,2024-07-01,General work residence permit requirement and enumerated exceptions,R0,current_route_page_pending,monthly,Highly qualified Article 44-1 rule and salary values missing
LT-002,Lithuania,highly skilled application,Migration Department,External service provider application conditions,https://migracija.lrv.lt/en/news/conditions-for-submitting-applications-for-temporary-residence-permits-in-lithuania-via-an-external-service-provider-are-tightened/,official_notice,en,2026-09-10,2024-11-21,2024-12-01,Highly skilled applicants may use specified external service channels,R0,current_route_page_pending,monthly,Not an eligibility rule source
CZ-001,Czechia,EU Blue Card,Ministry of the Interior,Blue Card,https://ipc.gov.cz/typy-viz-a-pobytu/obcane-tretich-zemi/dlouhodobe-pobyty/modra-karta/,official_guidance,cs,2026-09-10,2026,,Three-year higher qualification or higher professional skills; six-month contract; 1.5x average gross salary; registered vacancy,R1,bilingual_expert_pending,monthly,Current numeric average and English authoritative rendering pending
CZ-002,Czechia,immigration portal,Ministry of the Interior,Visa and residence permit types,https://ipc.gov.cz/en/visa-and-residence-permit-types/,official_guidance,en,2026-09-10,2026,,Official route taxonomy,R0,route_content_pending,monthly,English Blue Card content not surfaced by search index
IT-001,Italy,EU Blue Card,Ministry of the Interior,EU Blue Card implementation circular,https://www.interno.gov.it/sites/default/files/allegati/circolare_applicativa_protocollo_carta_blu_ue.pdf,official_circular,it,2026-09-10,2024,,Implementation procedure for entry and residence of highly qualified workers,R0,full_text_extraction_pending,event_driven,Current salary formula evidence and effective amendments pending
ES-003,Spain,EU Blue Card,State Official Gazette,Order PJC/44/2026,https://boe.es/buscar/doc.php?id=BOE-A-2026-2142,primary_law,es,2026-09-10,2026-01-30,2026-01-31,Threshold formula 1.4x annual average; 0.8 reducer; update applies one month after new earnings survey,R1,expert_pending,event_driven,Occupation catalogue and transition case corpus pending
ES-004,Spain,EU Blue Card salary,UGE,June 2026 salary threshold update,https://www.inclusion.gob.es/documents/d/unidadgrandesempresas/umbral-salarial.pdf,official_notice,es,2026-09-10,2026-06,2026-06,General threshold EUR 41356.36 and reduced EUR 33085.09 based on 2024 mean earnings,R1,expert_pending,monthly,Exact day new threshold first applies should be confirmed
ES-005,Spain,EU Blue Card,European Commission,EU Blue Card in Spain,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/eu-blue-card/eu-blue-card-spain_en,eu_official_guidance,en,2026-09-10,2025-04-01,,Six-month contract and route conditions; page records pre-2026 threshold under review,R1,superseded_numeric_warning,monthly,Numeric values superseded by ES-003/ES-004
BE-002,Belgium,EU Blue Card,European Commission,EU Blue Card in Belgium,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/eu-blue-card/eu-blue-card-belgium_en,eu_official_guidance,en,2026-09-10,2025-04-01,,Six-month contract; qualifications; no labour market test; regional application links,R1,stale_threshold_warning,monthly,Displayed 2023 regional thresholds not current
BE-003,Belgium,highly qualified worker,European Commission,Highly qualified worker in Belgium,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/highly-qualified-worker-belgium_en,eu_official_guidance,en,2026-09-10,2025-04-01,,Employer submits to competent region; regional and federal assessment; one-year contract and salary ratio,R1,regional_sources_pending,monthly,Current thresholds for four competent communities pending
PT-002,Portugal,EU Blue Card,European Commission,EU Blue Card in Portugal,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/eu-blue-card/eu-blue-card-portugal_en,eu_official_guidance,en,2026-09-10,2025-04-01,,Contract qualification salary-ratio and no labour-market-test structure,R1,stale_numeric_warning,monthly,Page uses 2023 value and internally inconsistent validity wording
PL-001,Poland,EU Blue Card,European Commission,EU Blue Card in Poland,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/eu-blue-card/eu-blue-card-poland_en,eu_official_guidance,en,2026-09-10,2025-04-01,,Contract qualifications PLN 9519.23 monthly threshold labour-market test and validity,R1,current_national_confirmation_pending,monthly,Contract duration may reflect pre-transposition wording; current Polish source required
IT-002,Italy,EU Blue Card,European Commission,EU Blue Card in Italy,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/eu-blue-card/eu-blue-card-italy_en,eu_official_guidance,en,2026-09-10,2025-04-01,,ICT three-of-seven experience route; five-year experience alternative; six-month contract; 2024 threshold,R1,current_threshold_pending,monthly,2026 value and national legal text reconciliation pending
LT-003,Lithuania,EU Blue Card,European Commission,EU Blue Card in Lithuania,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/eu-blue-card/eu-blue-card-lithuania_en,eu_official_guidance,en,2026-09-10,2025-04-01,,1.2x shortage or 1.5x other average wage; six-month contract; ICT three-of-seven or five-year experience,R1,current_inputs_pending,quarterly,Displayed 2023 wage is stale; current wage and shortage list required
COMP-009,Global,competitor,Deel,Employee Mobility Software & Solutions,https://www.deel.com/solutions/mobility/,vendor_primary,en,2026-09-10,,,Free visa check; eligibility and instant quotes; compliance alerts; expert-supported mobility,R1,vendor_claim_only,quarterly,No independent accuracy evidence or public transaction price captured
COMP-010,Global,competitor,Jobbatical,Global Immigration Management Platform,https://www.jobbatical.com/platform,vendor_primary,en,2026-09-10,,,Pre-hiring eligibility; case workflow; experts; 45+ country and 17000+ relocation claims,R1,vendor_claim_only,quarterly,Accuracy and performance not independently validated
COMP-011,Global,competitor,Jobbatical,Global Employee Immigration and Visa Pricing,https://www.jobbatical.com/pricing,vendor_primary,en,2026-09-10,,,Standalone assessments from EUR150 in several listed EU markets; service decomposition,R1,vendor_claim_only,quarterly,Prices vary by route and market
COMP-012,Global,competitor,Localyze,Employee relocations unlocked,https://www.localyze.com/service-availability,vendor_primary,en,2026-09-10,,,Immigration pre-checks; dedicated experts; relocation workflow,R1,vendor_claim_only,quarterly,No public price or independent accuracy evidence captured
DE-002,Germany,EU Blue Card,German Federal Ministry of Justice and Federal Office of Justice,Residence Act Section 18g,https://www.gesetze-im-internet.de/aufenthg_2004/BJNR195010004.html,primary_law,de,2026-09-10,current_consolidated,,Salary percentage formulas; ISCO groups; IT experience alternative; six-month offer; annual publication requirement,R1,bilingual_expert_pending,weekly,Full cross-reference and interpretation review required
DE-003,Germany,qualification comparability,Federal Government of Germany,Evaluation of foreign academic degrees,https://www.make-it-in-germany.com/en/working-in-germany/recognition/foreign-academic-qualifications,official_guidance,en,2026-09-10,2026,,anabin/ZAB evidence path; regulated profession distinction; Blue Card comparability requirement,R1,expert_pending,monthly,Exact evidence sufficiency depends on case and route
DE-004,Germany,IT routes,Federal Government of Germany,Visa options for IT professionals from third countries,https://www.make-it-in-germany.com/fileadmin/1_Rebrush_2022/a_Fachkraefte/PDF-Dateien/3_Visum_u_Aufenthalt/Visagrafik_EN/Visaoptionen_IT_aus_Drittstaaten_EN.pdf,official_guidance,en,2026-09-10,2026-01,2026-01,Distinguishes academic Blue Card; IT experience Blue Card; and practical-knowledge route with 2026 values,R1,expert_pending,monthly,Underlying BeschV provisions and edge cases require review
NL-004,Netherlands,EU Blue Card,Immigration and Naturalisation Service,European Blue Card residence permit,https://ind.nl/en/residence-permits/work/european-blue-card-residence-permit,official_guidance,en,2026-09-10,2026-06-15,,Employer recognition distinction; qualification and experience routes; six-month contract; employer tests,R1,legal_text_pending,monthly,Dutch legal provisions and application-date details require reconciliation
NL-005,Netherlands,sponsor obligations,Immigration and Naturalisation Service,Obligations of sponsor and recognised sponsor,https://ind.nl/en/obligations-of-sponsor-and-recognised-sponsor,official_guidance,en,2026-09-10,2026-06-30,,Information; record retention; duty of care; compliance semantics,R1,legal_text_pending,monthly,Exact obligation mapping requires Dutch instruments
NL-006,Netherlands,HSM market salary,Immigration and Naturalisation Service,National highly skilled migrant scheme,https://ind.nl/en/about-us/background-articles/national-highly-skilled-migrant-scheme,official_guidance,en,2026-09-10,,,Market-conform salary and potential UWV input; recognised-sponsor operation,R1,expert_pending,monthly,Market-rate assessment is not deterministic from public inputs
EU-010,EU,AI Act implementation,European Commission,AI Act regulatory framework,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,regulator_guidance,en,2026-09-10,2026-08-03,2026-08-02,General applicability and transparency timing; revised Annex III high-risk timing; obligations overview,R1,counsel_pending,monthly,Feature-level classification and final consolidated instrument require counsel
EU-011,EU,AI Act enforcement,European Commission,Enforcement framework of the AI Act,https://digital-strategy.ec.europa.eu/en/policies/enforcement-ai-act,regulator_guidance,en,2026-09-10,2026-08-24,2026-08-02,Enforcement authority and phased dates including Annex III from 2 December 2027,R1,counsel_pending,monthly,National authority practice and product classification pending
UK-004,United Kingdom,immigration advice,Immigration Advice Authority,Immigration Assistance practice note,https://assets.publishing.service.gov.uk/media/68a5a2378e2cb87576994d1e/IAA_Immigration_Assistance_practice_note_August_2025.pdf,regulator_guidance,en,2026-09-10,2025-08,,General information versus individual course-of-action opinion boundary,R1,written_opinion_required,quarterly,AutoTime feature and operating-nexus opinion required
UK-005,United Kingdom,DPIA,Information Commissioner's Office,When do we need to do a DPIA?,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/accountability-and-governance/data-protection-impact-assessments-dpias/when-do-we-need-to-do-a-dpia/,regulator_guidance,en,2026-09-10,,,DPIA triggers and high-risk screening guidance,R1,DPIA_required,quarterly,Product-specific DPIA and residual risk decision pending
COMP-013,Global,competitor,Relocate.me,Your guide to tech jobs and living abroad,https://www.relocate.me/,vendor_primary,en,2026-09-10,,,Relocation-focused tech vacancies and country visa tax salary and living guidance; vendor audience/traffic claims,R1,vendor_claim_only,quarterly,Exact paid product and vacancy sponsorship verification method not independently validated
COMP-014,Global,competitor,VanHack,Get Hired,https://vanhack.com/get-hired,vendor_primary,en,2026-09-10,,,Vetted engineering marketplace; international matching; relocation/visa support after hire; candidate-free model,R1,vendor_claim_only,quarterly,Europe-specific live inventory and outcome claims not independently validated
IE-003,Ireland,Critical Skills Employment Permit,Department of Enterprise Tourism and Employment,Critical Skills Employment Permits,https://enterprise.gov.ie/en/what-we-do/workplace-and-skills/employment-permits/permit-types/critical-skills-employment-permit/,official_guidance,en,2026-09-10,,,Two-year offer; bona-fide employer; occupation/remuneration bands; degree/experience and 50 percent rule,R1,numeric_contradiction_open,weekly,Page values EUR40904 and EUR36848 conflict with IE-004 table by EUR5/EUR1
IE-004,Ireland,minimum remuneration,Department of Enterprise Tourism and Employment,Minimum annual remuneration thresholds,https://enterprise.gov.ie/en/what-we-do/workplace-and-skills/economic-migration-policy/minimum-annual-remuneration/,official_guidance,en,2026-09-10,,2026,2026 table states degree CSEP EUR40909; no-degree EUR68911; graduate EUR36849,R1,numeric_contradiction_open,weekly,Degree and graduate values conflict with IE-003; controlling instrument required
IE-005,Ireland,occupation classification,Department of Enterprise Tourism and Employment,Occupations Lists and SOC,https://enterprise.gov.ie/en/what-we-do/workplace-and-skills/employment-permits/employment-permit-eligibility/classification-of-employments/,official_guidance,en,2026-09-10,,,SOC framework; Critical Skills and Ineligible list semantics; Department assigns occupation based on application facts,R1,list_snapshot_pending,monthly,Current list instrument and duties-to-code expert corpus required
IE-006,Ireland,ineligible occupations,Department of Enterprise Tourism and Employment,Ineligible List of Occupations,https://enterprise.gov.ie/en/what-we-do/workplace-and-skills/employment-permits/employment-permit-eligibility/ineligible-categories-of-employment/ineligible%20list%20of%20occupations%20.html,official_guidance,en,2026-09-10,2026-05-13,2026-05-13,SOC-organised ineligible list and stated SI 213 of 2026 effective date,R1,instrument_extraction_pending,monthly,Extract controlling schedule and route-specific exceptions
